,0
",Num_Acc",0.0
trajet,0.5072254222319482
secu,3.6623394893357615
place,8.483716422693062
catu,16.593070784909848
sexe,42.42639760533329
grav,44.247407210572796
locp,53.724472649686206
actp,53.83936038014552
an_nais,76.32921977944682
"num_veh,Num_Acc",76.71686817609866
etatp,117.83573399191879
obs,176.32765668107322
occutc,177.56484904377456
senc,210.14763464138616
catv,211.04250846026994
choc,214.88225961500888
obsm,215.26287406897953
lat,259.26018553977696
gps,259.26018553977696
adr,259.26018553977696
com,259.26018553977696
col,259.26018553977696
atm,259.26018553977696
int,259.26018553977696
agg,259.26018553977696
lum,259.26018553977696
hrmn,259.26018553977696
jour,259.26018553977696
mois,259.26018553977696
an,259.26018553977696
"env1,Num_Acc",259.26018553977696
situ,259.26018553977696
infra,259.26018553977696
nbv,259.26018553977696
larrout,259.26018553977696
manv,259.26018553977696
"num_veh,Num_Acc.1",259.26018553977696
catr,259.26018553977696
voie,259.26018553977696
v1,259.26018553977696
v2,259.26018553977696
surf,259.26018553977696
circ,259.26018553977696
pr,259.26018553977696
pr1,259.26018553977696
vosp,259.26018553977696
prof,259.26018553977696
plan,259.26018553977696
lartpc,259.26018553977696
long,259.26018553977696
dep,259.26018553977696
